baseline,eval_set,metric,fraction,seed,value,train_rows,train_families,group_mean,group_std,n_runs
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,53,0.896552,1051,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,53,0.827235,1051,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,53,0.604261,1051,136,0.5978498,0.029280150643396643,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,53,0.954023,1051,136,0.9494252,0.0174319426685611,5
B1.1_tfidf_lr,test,macro_f1,0.5,71,0.735682,1075,136,0.762294,0.041339273983707105,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,71,0.600371,1075,136,0.5483385999999999,0.05052582846723049,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,71,0.758621,1075,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,71,0.825814,1075,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,71,0.574565,1075,136,0.5978498,0.029280150643396643,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,71,0.91954,1075,136,0.9494252,0.0174319426685611,5
B1.1_tfidf_lr,test,macro_f1,0.75,11,0.832801,1635,205,0.8160104,0.01665298616765171,5
B1.1_tfidf_lr,hard_test,macro_f1,0.75,11,0.569769,1635,205,0.5262286,0.03255780039099693,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.75,11,0.91954,1635,205,0.9172414,0.017048727893892827,5
B2.1_bge-m3_svc,test,macro_f1,0.75,11,0.864665,1635,205,0.8639556,0.008118220913476058,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.75,11,0.604402,1635,205,0.6091712,0.017987258801718507,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.75,11,0.942529,1635,205,0.9471263999999999,0.023834875598584514,5
B1.1_tfidf_lr,test,macro_f1,0.75,23,0.825828,1579,205,0.8160104,0.01665298616765171,5
B1.1_tfidf_lr,hard_test,macro_f1,0.75,23,0.520443,1579,205,0.5262286,0.03255780039099693,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.75,23,0.91954,1579,205,0.9172414,0.017048727893892827,5
B2.1_bge-m3_svc,test,macro_f1,0.75,23,0.870555,1579,205,0.8639556,0.008118220913476058,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.75,23,0.631465,1579,205,0.6091712,0.017987258801718507,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.75,23,0.965517,1579,205,0.9471263999999999,0.023834875598584514,5
B1.1_tfidf_lr,test,macro_f1,0.75,37,0.82278,1607,205,0.8160104,0.01665298616765171,5
B1.1_tfidf_lr,hard_test,macro_f1,0.75,37,0.531684,1607,205,0.5262286,0.03255780039099693,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.75,37,0.896552,1607,205,0.9172414,0.017048727893892827,5
B2.1_bge-m3_svc,test,macro_f1,0.75,37,0.854796,1607,205,0.8639556,0.008118220913476058,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.75,37,0.583751,1607,205,0.6091712,0.017987258801718507,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.75,37,0.908046,1607,205,0.9471263999999999,0.023834875598584514,5
